os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Ryzen 5 1600 Six-Core Processor,Radeon RX 470/480/570/570X/580/580X/590,12240268,5.15.36-1-lts,,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
836.587,1106,5.9126,100,46,64,1316,1750,1.27158,112,3.66078,27886789
843.354,1103,5.9126,100,46,64,1316,1750,1.27158,112,3.66078,127947784
853.907,1096,4.10256,100,46,64,1298,1750,1.27158,115,3.66078,228006164
857.312,1115,4.10256,100,46,64,1298,1750,1.27158,115,3.66078,328064644
858.518,1105,4.10256,100,46,64,1298,1750,1.27158,115,3.66078,428121622
857.895,1110,4.10256,100,46,64,1298,1750,1.27158,115,3.66078,528180262
857.428,1052,4.10256,100,46,64,1298,1750,1.27158,115,3.66078,628236859
863.86,1130,4.99139,96,46,65,1310,1750,1.27158,116,3.65689,728294477
862.546,1183,4.99139,96,46,65,1310,1750,1.27158,116,3.65689,828350914
859.578,1119,4.99139,96,46,65,1310,1750,1.27158,116,3.65689,928410797
858.984,1151,4.99139,96,46,65,1310,1750,1.27158,116,3.65689,1028469467
858.05,1117,4.99139,96,46,65,1310,1750,1.27158,116,3.65689,1128528348
866.441,1092,6.09137,100,46,65,1289,1750,1.27158,113,3.65747,1228585326
862.804,1098,6.09137,100,46,65,1289,1750,1.27158,113,3.65747,1328642654
862.531,1126,6.09137,100,46,65,1289,1750,1.27158,113,3.65747,1428699431
863.668,1092,6.09137,100,46,65,1289,1750,1.27158,113,3.65747,1528756588
861.768,1150,6.09137,100,46,65,1289,1750,1.27158,113,3.65747,1628813516
858.997,1112,5.6314,100,46,65,1292,1750,1.27158,114,3.65747,1728871555
853.453,1103,5.6314,100,46,65,1292,1750,1.27158,114,3.65747,1828930206
854.646,1094,5.6314,100,46,65,1292,1750,1.27158,114,3.65747,1928989237
855.553,1120,5.6314,100,46,65,1292,1750,1.27158,114,3.65747,2029046595
854.913,1153,5.6314,100,46,65,1292,1750,1.27158,114,3.65747,2129106448
861.195,1128,7.20268,100,46,65,1302,1750,1.27158,116,3.65735,2229163345
707.878,1098,7.20268,100,46,65,1302,1750,1.27158,116,3.65735,2329220583
774.558,1116,7.20268,100,46,65,1302,1750,1.27158,116,3.65735,2429281708
799.13,1096,7.20268,100,46,65,1302,1750,1.27158,116,3.65735,2529338124
810.141,1181,7.20268,100,46,65,1302,1750,1.27158,116,3.65735,2629397346
828.443,1198,5.79216,100,46,65,1296,1750,1.27187,116,3.65795,2729456678
825.86,1145,5.79216,100,46,65,1296,1750,1.27187,116,3.65795,2829514126
825.482,1143,5.79216,100,46,65,1296,1750,1.27187,116,3.65795,2929571815
826.284,1143,5.79216,100,46,65,1296,1750,1.27187,116,3.65795,3029628822
823.409,1173,5.79216,100,46,65,1296,1750,1.27187,116,3.65795,3129685219
813.019,1184,7.88591,93,46,65,1292,1750,1.27187,115,3.65841,3229742256
816.059,1142,7.88591,93,46,65,1292,1750,1.27187,115,3.65841,3329801117
814.902,1176,7.88591,93,46,65,1292,1750,1.27187,115,3.65841,3429858375
815.948,1142,7.88591,93,46,65,1292,1750,1.27187,115,3.65841,3529915673
817.068,1147,7.88591,93,46,65,1292,1750,1.27187,115,3.65841,3629980435
822.369,1173,8.0402,100,46,65,1297,1750,1.27187,115,3.65865,3730037923
817.028,1170,8.0402,100,46,65,1297,1750,1.27187,115,3.65865,3830095241
818.981,1175,8.0402,100,46,65,1297,1750,1.27187,115,3.65865,3930152299
819.595,1173,8.0402,100,46,65,1297,1750,1.27187,115,3.65865,4030215067
820.258,1170,8.0402,100,46,65,1297,1750,1.27187,115,3.65865,4130272435
100.214,9973,10.2804,100,50,70,1305,1750,1.98255,115,4.38251,1016927
100.073,10259,10.2804,100,50,70,1305,1750,1.98255,115,4.38251,101075307
100.304,10012,16.8421,100,50,71,1302,1750,1.98255,113,4.38311,201140440
100.043,9872,16.8421,100,50,71,1302,1750,1.98255,113,4.38311,301200153
99.9329,9969,16.8421,100,50,71,1302,1750,1.98255,113,4.38311,401260596
99.8133,10321,16.8421,100,50,71,1302,1750,1.98255,113,4.38311,501320379
99.9396,9884,16.8421,100,50,71,1302,1750,1.98255,113,4.38311,601392154
114.398,7497,12.7419,100,50,71,1295,1750,1.98255,114,4.38375,701460283
100.524,10189,12.7419,100,50,71,1295,1750,1.98255,114,4.38375,801520356
100.397,9903,12.7419,100,50,71,1295,1750,1.98255,114,4.38375,901578515
100.263,10046,12.7419,100,50,71,1295,1750,1.98255,114,4.38375,1001645512
100.201,10089,12.7419,100,50,71,1295,1750,1.98255,114,4.38375,1101707769
100.615,9770,13.6218,100,50,71,1298,1750,1.98255,114,4.37835,1201770717
100.088,9973,13.6218,100,50,71,1298,1750,1.98255,114,4.37835,1301833496
100.187,9742,13.6218,100,50,71,1298,1750,1.98255,114,4.37835,1401896675
99.94,10111,13.6218,100,50,71,1298,1750,1.98255,114,4.37835,1501959172
99.9464,9942,13.6218,100,50,71,1298,1750,1.98255,114,4.37835,1602022151
99.3338,9814,13.6218,100,50,71,1298,1750,1.98255,114,4.37835,1702085440
99.7609,9776,14.511,100,50,71,1305,1750,1.98255,114,4.37841,1802143630
99.8091,10285,14.511,100,50,71,1305,1750,1.98255,114,4.37841,1902201349
100.074,9809,14.511,100,50,71,1305,1750,1.98255,114,4.37841,2002258256
99.9369,9951,14.511,100,50,71,1305,1750,1.98255,114,4.37841,2102315664
99.7169,9793,14.4462,100,50,71,1299,1750,1.98255,115,4.37804,2202373183
99.6558,10265,14.4462,100,50,71,1299,1750,1.98255,115,4.37804,2302434588
99.0986,10132,14.4462,100,50,71,1299,1750,1.98255,115,4.37804,2402493469
99.3394,10025,14.4462,100,50,71,1299,1750,1.98255,115,4.37804,2502552010
99.1185,9991,14.4462,100,50,71,1299,1750,1.98255,115,4.37804,2602609919
93.1428,10736,14.4462,100,50,71,1299,1750,1.98255,115,4.37804,2702668259
98.0504,10292,9.57983,100,50,71,1281,1750,1.98255,113,4.3779,2802727651
98.5847,9813,9.57983,100,50,71,1281,1750,1.98255,113,4.3779,2902784999
98.7639,9943,9.57983,100,50,71,1281,1750,1.98255,113,4.3779,3002843349
98.7571,10081,9.57983,100,50,71,1281,1750,1.98255,113,4.3779,3102909674
97.7748,10227,9.57983,100,50,71,1281,1750,1.98255,113,4.3779,3202967873
100.68,9670,15.1858,100,50,71,1280,1750,1.98255,114,4.38344,3303027926
100.989,9562,15.1858,100,50,71,1280,1750,1.98255,114,4.38344,3403087158
100.838,9746,15.1858,100,50,71,1280,1750,1.98255,114,4.38344,3503151129
100.629,9906,15.1858,100,50,71,1280,1750,1.98255,114,4.38344,3603209288
97.7553,10229,15.0485,100,50,71,1294,1750,1.98255,115,4.38897,3703267678
98.087,10273,15.0485,100,50,71,1294,1750,1.98255,115,4.38897,3803329024
97.544,10608,15.0485,100,50,71,1294,1750,1.98255,115,4.38897,3903388786
98.0103,9988,15.0485,100,50,71,1294,1750,1.98255,115,4.38897,4003452557
98.4582,10054,15.0485,100,50,71,1294,1750,1.98255,115,4.38897,4103510516
98.6474,10073,15.0485,100,50,71,1294,1750,1.98255,115,4.38897,4203569778
99.5237,10187,12.5612,100,50,71,1307,1750,1.98255,114,4.38897,4303629640
99.2402,9776,12.5612,100,50,71,1307,1750,1.98255,114,4.38897,4403686808
99.2326,10021,12.5612,100,50,71,1307,1750,1.98255,114,4.38897,4503748735
99.1313,10298,12.5612,100,50,71,1307,1750,1.98255,114,4.38897,4603806574
98.9234,10215,12.5612,100,50,71,1307,1750,1.98255,114,4.38897,4703863281
98.858,10234,12.3577,100,50,70,1284,1750,1.98255,114,4.3891,4803923474
98.847,10217,12.3577,100,50,70,1284,1750,1.98255,114,4.3891,4903981033
99.2801,10264,12.3577,100,50,70,1284,1750,1.98255,114,4.3891,5004040685
100.689,8822,12.3577,100,50,70,1284,1750,1.98255,114,4.3891,5104106269
104,8373,12.3577,100,50,70,1284,1750,1.98255,114,4.3891,5204165129
125.178,7492,6.09319,100,50,71,1298,1750,1.98255,115,4.3891,5304223249
117.088,6327,6.09319,100,50,71,1298,1750,1.98255,115,4.3891,5404283743
127.932,7062,6.09319,100,50,71,1298,1750,1.98255,115,4.3891,5504342614
133.367,7095,6.09319,100,50,71,1298,1750,1.98255,115,4.3891,5604400283
